2025-04-25 09:22:15 | ERROR | ui.customize_ui.customize_charts : customize_charts:196 | charts_tab1_left_bottom_1|678|54.14674210123994|2025-04-25/09:22:15.600
2025-04-25 09:22:15 | ERROR | ui.customize_ui.customize_charts : customize_charts:197 | [677, 0]|[1, 0]|[False, True]
2025-04-25 09:22:15 | INFO | ui.customize_ui.customize_charts : customize_charts:397 | charts_tab1_left_bottom_1‘s data’s min&max x=[1745544132.386,1745544135.6] y=[-36.74519468423518,89.03478297310645]
2025-04-25 09:22:16 | INFO | ui.customize_ui.customize_charts : customize_charts:397 | charts_tab1_right_3‘s data’s min&max x=[1745544132.386,1745544135.6] y=[-36.74519468423518,89.03478297310645]
2025-04-25 09:22:16 | INFO | ui.customize_ui.customize_charts : customize_charts:397 | charts_tab1_right_2‘s data’s min&max x=[1745544132.386,1745544135.6] y=[-36.74519468423518,89.03478297310645]
2025-04-25 09:22:16 | INFO | ui.customize_ui.customize_charts : customize_charts:397 | charts_tab1_right_1‘s data’s min&max x=[1745544132.386,1745544135.6] y=[-36.74519468423518,89.03478297310645]
2025-04-25 09:22:16 | INFO | ui.customize_ui.customize_charts : customize_charts:397 | charts_tab1_left_bottom_2‘s data’s min&max x=[1745544132.386,1745544135.6] y=[-36.74519468423518,89.03478297310645]
2025-04-25 09:22:16 | ERROR | ui.customize_ui.customize_charts : customize_charts:196 | charts_tab1_left_bottom_1|679|57.3673515650089|2025-04-25/09:22:16.673
2025-04-25 09:22:16 | ERROR | ui.customize_ui.customize_charts : customize_charts:197 | [678, 0]|[1, 0]|[False, True]
2025-04-25 09:22:16 | INFO | ui.customize_ui.customize_charts : customize_charts:397 | charts_tab1_left_bottom_1‘s data’s min&max x=[1745544132.386,1745544136.673] y=[-36.74519468423518,89.03478297310645]
2025-04-25 09:22:17 | INFO | ui.customize_ui.customize_charts : customize_charts:397 | charts_tab1_right_3‘s data’s min&max x=[1745544132.386,1745544136.673] y=[-36.74519468423518,89.03478297310645]
2025-04-25 09:22:17 | INFO | ui.customize_ui.customize_charts : customize_charts:397 | charts_tab1_right_2‘s data’s min&max x=[1745544132.386,1745544136.673] y=[-36.74519468423518,89.03478297310645]
2025-04-25 09:22:17 | INFO | ui.customize_ui.customize_charts : customize_charts:397 | charts_tab1_right_1‘s data’s min&max x=[1745544132.386,1745544136.673] y=[-36.74519468423518,89.03478297310645]
2025-04-25 09:22:17 | INFO | ui.customize_ui.customize_charts : customize_charts:397 | charts_tab1_left_bottom_2‘s data’s min&max x=[1745544132.386,1745544136.673] y=[-36.74519468423518,89.03478297310645]
2025-04-25 09:22:17 | ERROR | ui.customize_ui.customize_charts : customize_charts:196 | charts_tab1_left_bottom_1|680|42.679209622991976|2025-04-25/09:22:17.713
2025-04-25 09:22:17 | ERROR | ui.customize_ui.customize_charts : customize_charts:197 | [679, 0]|[1, 0]|[False, True]
2025-04-25 09:22:17 | INFO | ui.customize_ui.customize_charts : customize_charts:397 | charts_tab1_left_bottom_1‘s data’s min&max x=[1745544132.386,1745544137.713] y=[-36.74519468423518,89.03478297310645]
2025-04-25 09:22:18 | INFO | ui.customize_ui.customize_charts : customize_charts:397 | charts_tab1_right_3‘s data’s min&max x=[1745544132.386,1745544137.713] y=[-36.74519468423518,89.03478297310645]
2025-04-25 09:22:18 | INFO | ui.customize_ui.customize_charts : customize_charts:397 | charts_tab1_right_2‘s data’s min&max x=[1745544132.386,1745544137.713] y=[-36.74519468423518,89.03478297310645]
2025-04-25 09:22:18 | INFO | ui.customize_ui.customize_charts : customize_charts:397 | charts_tab1_right_1‘s data’s min&max x=[1745544132.386,1745544137.713] y=[-36.74519468423518,89.03478297310645]
2025-04-25 09:22:18 | INFO | ui.customize_ui.customize_charts : customize_charts:397 | charts_tab1_left_bottom_2‘s data’s min&max x=[1745544132.386,1745544137.713] y=[-36.74519468423518,89.03478297310645]
2025-04-25 09:22:18 | ERROR | ui.customize_ui.customize_charts : customize_charts:196 | charts_tab1_left_bottom_1|681|-23.06234037726243|2025-04-25/09:22:18.786
2025-04-25 09:22:18 | ERROR | ui.customize_ui.customize_charts : customize_charts:197 | [680, 0]|[1, 0]|[False, True]
2025-04-25 09:22:18 | INFO | ui.customize_ui.customize_charts : customize_charts:397 | charts_tab1_left_bottom_1‘s data’s min&max x=[1745544132.386,1745544138.786] y=[-36.74519468423518,89.03478297310645]
2025-04-25 09:22:19 | INFO | ui.customize_ui.customize_charts : customize_charts:397 | charts_tab1_right_3‘s data’s min&max x=[1745544132.386,1745544138.786] y=[-36.74519468423518,89.03478297310645]
2025-04-25 09:22:19 | INFO | ui.customize_ui.customize_charts : customize_charts:397 | charts_tab1_right_2‘s data’s min&max x=[1745544132.386,1745544138.786] y=[-36.74519468423518,89.03478297310645]
2025-04-25 09:22:19 | INFO | ui.customize_ui.customize_charts : customize_charts:397 | charts_tab1_right_1‘s data’s min&max x=[1745544132.386,1745544138.786] y=[-36.74519468423518,89.03478297310645]
2025-04-25 09:22:19 | INFO | ui.customize_ui.customize_charts : customize_charts:397 | charts_tab1_left_bottom_2‘s data’s min&max x=[1745544132.386,1745544138.786] y=[-36.74519468423518,89.03478297310645]
2025-04-25 09:22:19 | ERROR | ui.customize_ui.customize_charts : customize_charts:196 | charts_tab1_left_bottom_1|682|-13.125384868304124|2025-04-25/09:22:19.880
2025-04-25 09:22:19 | ERROR | ui.customize_ui.customize_charts : customize_charts:197 | [681, 0]|[1, 0]|[False, True]
2025-04-25 09:22:19 | INFO | ui.customize_ui.customize_charts : customize_charts:397 | charts_tab1_left_bottom_1‘s data’s min&max x=[1745544132.386,1745544139.88] y=[-36.74519468423518,89.03478297310645]
2025-04-25 09:22:20 | INFO | ui.customize_ui.customize_charts : customize_charts:397 | charts_tab1_right_3‘s data’s min&max x=[1745544132.386,1745544139.88] y=[-36.74519468423518,89.03478297310645]
2025-04-25 09:22:20 | INFO | ui.customize_ui.customize_charts : customize_charts:397 | charts_tab1_right_2‘s data’s min&max x=[1745544132.386,1745544139.88] y=[-36.74519468423518,89.03478297310645]
