2025-05-22 16:46:33 | INFO |MainProcess | MainThread |  __main__ : main:70 | p_comm子进程开始运行
2025-05-22 16:46:33 | INFO |MainProcess | MainThread |  __main__ : main:78 | p_deep_camera子进程开始运行
2025-05-22 16:46:34 | INFO |MainProcess | MainThread |  __main__ : main:85 | p_infrared_camera子进程开始运行
2025-05-22 16:46:35 | INFO |MainProcess | MainThread |  __main__ : main:92 | p_gui子进程开始运行
2025-05-22 16:48:22 | INFO |MainProcess | MainThread |  __main__ : main:62 | ----------------------------------------main_start----------------------------------------
2025-05-22 16:48:22 | INFO |MainProcess | MainThread |  __main__ : main:70 | p_comm子进程开始运行
2025-05-22 16:48:22 | INFO |MainProcess | MainThread |  __main__ : main:78 | p_deep_camera子进程开始运行
2025-05-22 16:48:22 | INFO |MainProcess | MainThread |  __main__ : main:85 | p_infrared_camera子进程开始运行
2025-05-22 16:48:22 | INFO |MainProcess | MainThread |  __main__ : main:92 | p_gui子进程开始运行
2025-05-22 16:48:44 | ERROR |MainProcess | MainThread |  __main__ : main:103 | p_gui子进程已停止，同步终止p_comm子进程
2025-05-22 16:48:44 | ERROR |MainProcess | MainThread |  __main__ : main:107 | 终止p_comm子进程
2025-05-22 16:49:06 | INFO |MainProcess | MainThread |  __main__ : main:62 | ----------------------------------------main_start----------------------------------------
2025-05-22 16:49:06 | INFO |MainProcess | MainThread |  __main__ : main:70 | p_comm子进程开始运行
2025-05-22 16:49:06 | INFO |MainProcess | MainThread |  __main__ : main:78 | p_deep_camera子进程开始运行
2025-05-22 16:49:06 | INFO |MainProcess | MainThread |  __main__ : main:85 | p_infrared_camera子进程开始运行
2025-05-22 16:49:06 | INFO |MainProcess | MainThread |  __main__ : main:92 | p_gui子进程开始运行
2025-05-22 16:49:33 | ERROR |MainProcess | MainThread |  __main__ : main:103 | p_gui子进程已停止，同步终止p_comm子进程
2025-05-22 16:49:34 | ERROR |MainProcess | MainThread |  __main__ : main:107 | 终止p_comm子进程
2025-05-22 16:49:42 | INFO |MainProcess | MainThread |  __main__ : main:62 | ----------------------------------------main_start----------------------------------------
2025-05-22 16:49:42 | INFO |MainProcess | MainThread |  __main__ : main:70 | p_comm子进程开始运行
2025-05-22 16:49:42 | INFO |MainProcess | MainThread |  __main__ : main:78 | p_deep_camera子进程开始运行
2025-05-22 16:49:42 | INFO |MainProcess | MainThread |  __main__ : main:85 | p_infrared_camera子进程开始运行
2025-05-22 16:49:42 | INFO |MainProcess | MainThread |  __main__ : main:92 | p_gui子进程开始运行
2025-05-22 16:51:24 | INFO |MainProcess | MainThread |  __main__ : main:62 | ----------------------------------------main_start----------------------------------------
2025-05-22 16:51:24 | INFO |MainProcess | MainThread |  __main__ : main:70 | p_comm子进程开始运行
